Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France,2795.09,2823.37,2816.39,2831.38,2835.49,2859.52,2828.41,2784.27,2788.83,2791.13,2805.91,2800.6,2732.62,2689.28,2629.92,2586.11,2556.8,2539.77,2541.92,2498.27,2487.89,2440.25,2387.05,2366.43,2359.48,2332.34,2309.89,2295.16,2260.0,1597.27,1009.73,959.52,1677.13,1253.19
Gabon,,,,,1167.37,,,,,,710.43,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,4010.74,,,,,,,795.23,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2545.2,6208.44,4871.24,3747.16,3181.71,2980.01,3045.0,348.6,1930.18,3511.76,5093.34,4332.72,4290.93,4625.04,4438.35,4095.04,5175.56,5031.47,4589.45,3917.29,4107.18,4568.13,4939.62,4700.22,4700.23,4700.22,4700.21,4700.22,4700.23,3312.26,1952.83,2230.79,3477.87,3226.93
Germany,4847.7,4600.77,4457.42,4481.78,4323.44,4224.53,4129.84,3949.41,3745.03,3709.19,3544.22,3401.79,3238.77,3100.55,2901.15,2774.73,2623.81,2542.77,2506.12,2407.4,2367.25,2322.69,2352.19,2328.78,2279.64,2270.7,2220.28,2189.53,2105.68,1448.51,957.8,916.71,1520.94,1196.97
Ghana,3005.81,3350.05,3227.07,3314.01,3463.95,3651.27,3842.58,4409.43,4502.33,4608.03,4870.74,5361.93,5702.97,5852.7,6100.08,6217.89,6419.28,,,,,,,,,,,,,,,,,
Greece,441.69,441.64,444.68,446.06,450.85,457.1,463.81,461.94,470.88,470.12,469.44,442.23,446.57,450.46,451.5,455.29,458.4,453.06,449.19,434.47,442.73,437.43,430.91,421.32,412.95,406.07,392.2,402.37,403.64,254.09,174.42,166.32,266.79,233.19
Grenada,,,,,1470.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,4087.86,,,,3846.15,,,,,,4086.85,,,,,5235.51,,,,,,,,,,,,,,,,,,
Guinea,,,,,3249.52,,,,,,7623.0,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,668.68,,,,,,,,,,,,1219.68,,,,3450.22,,,,,,,,,,,,,
Guyana,891.03,901.53,907.83,922.53,925.26,873.6,933.03,969.36,904.26,1040.13,918.96,973.14,771.12,1027.53,995.61,,,,,,,,,,,,,,,,,,,
Haiti,,,,,2739.87,3064.74,3630.69,3649.59,3628.59,3674.16,3669.96,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,5762.23,,,,,3847.85,,,,,4149.6,,,,,,,,,,3705.45,,,,,,,,
Hungary,468.87,458.12,406.09,384.14,365.35,343.9,346.42,340.81,336.0,338.6,342.65,338.02,336.03,342.85,328.73,320.47,314.58,312.76,306.93,308.41,308.54,305.22,307.21,300.46,293.19,294.11,292.11,294.98,290.88,209.61,144.13,138.77,220.09,199.62
Iceland,24.42,24.32,24.74,25.41,25.78,25.85,26.68,26.88,26.91,27.23,27.21,27.67,27.93,27.54,27.4,26.9,28.35,28.61,28.06,27.7,27.27,26.41,25.34,25.54,26.02,26.26,25.92,25.48,25.2,143.05,100.32,100.76,151.66,152.37
India,,,,,379596.0,,,,,,407238.3,,,,,,,,,,412086.36,,,,,,,,,,,,,
Indonesia,106113.0,119536.2,122351.04,124257.84,126882.0,,,,,,236331.9,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),,,,,53144.39,,,,,,75713.82,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,6699.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,590.43,597.62,602.12,602.76,599.52,600.02,609.57,608.34,617.45,597.33,573.53,574.55,570.6,594.63,556.19,543.27,541.78,515.18,507.06,492.9,482.8,481.5,493.48,506.91,518.67,531.61,547.15,559.68,559.4,302.65,207.75,200.99,317.78,277.36
Israel,,,,,,,3522.91,,,,3888.33,,,4966.04,5244.15,5529.92,5819.52,6045.47,6266.96,6388.36,6714.75,6727.1,6934.66,6963.98,7094.8,7109.29,7253.92,7307.25,7380.9,,,,,
Italy,1929.9,1965.06,1959.08,1971.34,1988.34,2013.03,2032.67,2054.56,2035.22,2034.16,2030.65,2034.75,1969.6,1977.85,1913.15,1933.13,1882.59,1910.54,1893.11,1891.69,1879.2,1822.78,1846.73,1790.83,1756.19,1755.34,1735.97,1746.32,1721.31,1215.95,766.13,717.73,1276.75,954.28
Jamaica,,,,,1217.91,,,,,,,,,,,,818.58,834.96,840.84,857.22,847.35,,852.18,,,,,,,,,,,
