Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guyana,7.5,7.5,7.5,7.5,7.5,8.1,7.7,8.2,9.0,7.0,7.1,6.8,6.9,6.9,6.9,,,,,,,,,,,,,,,,,,,
Haiti,,,,,8.8,11.96,12.51,14.58,14.18,14.37,13.58,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,0.3,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,
Hungary,829.73,832.66,715.44,719.99,629.73,614.1,611.94,625.52,565.97,558.5,427.24,346.33,272.35,246.0,151.45,42.96,39.2,36.28,35.87,29.76,30.47,34.3,30.54,29.39,26.03,24.31,23.14,27.82,23.04,53.9,26.31,26.95,56.59,47.82
Iceland,24.03,22.33,24.72,24.76,23.35,22.24,24.71,24.73,24.44,32.51,38.77,41.72,44.93,41.45,36.3,42.51,42.36,60.46,77.36,71.8,81.76,84.13,87.06,72.01,65.38,60.54,51.57,49.65,54.71,27.0,10.93,6.47,28.35,5.08
Iran (Islamic Republic of),,,,,29.13,,,,,,139.46,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,3909.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,182.93,183.15,170.92,161.95,177.09,163.17,150.05,168.93,179.71,161.09,144.22,142.26,106.64,82.63,73.25,73.05,60.78,54.94,45.61,32.76,26.57,25.02,23.49,23.59,16.95,15.08,13.71,13.46,12.17,9.07,4.7,4.6,9.52,8.47
Israel,,,,,,,281.13,,,,270.98,,,235.53,219.28,197.99,182.1,178.18,168.3,154.24,145.37,153.18,151.25,126.17,100.31,100.43,86.13,67.43,56.2,,,,,
Italy,1783.86,1672.65,1574.23,1471.75,1389.49,1322.67,1213.9,1138.37,1004.29,903.67,756.22,704.49,623.29,524.48,487.8,409.62,387.84,345.37,290.1,237.46,218.48,196.24,177.97,146.56,131.58,124.49,116.95,115.42,110.45,106.48,56.82,55.58,111.8,96.91
Jamaica,,,,,99.7,,,,,,,,,,,,18.71,19.05,18.62,17.35,16.65,,15.99,,,,,,,,,,,
Japan,1250.0,1241.0,1199.47,1155.2,1212.32,1202.97,1158.13,1193.67,1119.5,1136.93,1130.87,1124.15,1115.08,1088.31,1058.25,1010.67,970.29,926.76,860.19,802.59,772.12,727.95,724.16,715.46,706.51,701.73,700.92,695.31,694.93,,,,,
Jordan,,,,,,,,,,,186.41,,,,,,138.0,,,,,,,,,,,,,,,,,
Kazakhstan,1043.89,1028.12,902.66,808.8,638.17,625.94,563.99,506.1,480.44,357.65,407.15,400.85,452.31,483.55,478.06,537.42,581.5,571.89,555.95,566.65,594.5,640.49,652.01,624.28,676.92,666.64,637.2,661.33,668.74,518.3,268.33,254.0,544.22,469.02
Kenya,,,,,,108.45,,,,,126.32,,,,,126.21,,,,,145.65,,,,,,,,,,,,,
Kuwait,,,,,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,92.65,84.71,69.21,55.15,39.19,24.13,22.17,24.78,21.38,23.08,22.53,22.77,22.45,22.03,23.27,23.13,22.83,24.76,31.51,32.97,30.56,,,,,,,,,,,,,
Lao People's Democratic Republic,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,
Latvia,100.45,81.68,69.79,65.74,66.71,49.39,55.67,43.96,39.84,32.21,17.75,14.3,12.98,11.31,9.28,8.74,8.32,8.12,6.58,6.61,4.31,4.27,4.41,3.9,3.85,3.55,3.43,3.59,3.83,5.01,2.57,2.56,5.26,4.52
Lebanon,,,,,82.99,,,,,,93.42,,,,,,,,,,,102.02,112.05,119.01,,,,,,,,,,
Lithuania,185.14,210.72,110.23,96.82,96.02,73.77,74.44,68.3,85.05,63.48,37.95,41.76,37.52,24.84,25.58,27.37,25.16,21.62,19.51,18.72,18.02,19.53,17.0,14.66,13.34,14.93,14.88,12.65,12.66,5.29,2.91,2.72,5.55,4.61
Luxembourg,15.75,15.96,15.57,16.5,14.95,8.83,8.31,5.65,3.01,3.09,3.25,3.82,2.8,2.62,2.41,2.38,2.76,2.32,1.69,1.67,1.65,1.23,1.44,1.49,1.51,1.3,0.95,0.96,0.92,4.76,2.55,2.48,5.0,4.88
Madagascar,,,,,34.65,,,,,,39.82,,,,,52.0,54.1,56.9,60.1,61.9,65.2,,,,,,,,,,,,,
Mali,,,,,,0.0,,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,
Malta,10.26,11.12,11.63,11.7,12.43,11.41,10.16,10.52,10.64,10.39,10.03,10.96,10.41,11.3,11.12,12.36,12.47,12.85,10.53,6.76,8.17,8.11,8.12,5.57,4.91,2.44,2.05,1.04,0.33,4.56,2.47,2.44,4.79,4.73
Marshall Islands,,,,,,,,,,,0.15,,,,,0.18,,,,,0.28,,,,,,,,,,,,,
Mauritania,,,,,,0.19,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,26.74,,,,,8.76,9.55,9.2,12.47,9.72,9.6,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),,,,,0.53,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0.13,0.12,0.13,0.12,0.12,0.1,0.11,0.09,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.05,0.03,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.01,0.01,4.85,2.57,2.54,5.09,4.91
Montenegro,13.95,15.28,12.74,8.21,6.91,3.76,12.02,11.06,13.12,13.45,13.52,11.08,15.38,14.79,14.09,12.5,13.74,11.78,15.35,8.08,27.8,39.73,39.74,39.73,39.74,39.73,39.73,39.73,39.72,7.39,3.51,2.9,7.76,4.4
Morocco,,,,,295.0,,,,,,484.09,,,,,,,,,,576.97,,635.53,,,,,,,,,,,
Namibia,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,0.05,,,0.03,,,,0.02,,,0.18,,,,,,,,,,,,,
Nepal,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,187.18,108.09,105.11,102.34,97.79,125.69,18.92,12.07,92.56,86.0,70.59,72.26,65.7,61.26,63.95,62.4,62.65,59.49,50.2,36.92,33.78,33.76,33.95,29.65,29.22,30.36,27.48,26.08,24.51,5.12,2.63,2.7,5.38,4.96
New Zealand,57.06,55.25,60.16,58.54,59.27,62.17,60.87,61.81,61.87,66.25,70.61,74.8,76.39,89.97,86.9,93.43,89.66,81.99,87.28,74.33,73.49,74.07,78.62,75.51,73.57,75.76,69.35,73.67,71.35,,,,,
Nicaragua,,,,,4.59,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,2140.0,,,,,,,,1929.0,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,2.21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
North Macedonia,2.98,2.7,2.38,1.91,1.68,1.99,2.71,2.79,2.9,2.23,2.82,2.53,2.65,255.76,229.61,246.81,257.66,196.07,208.99,205.83,205.84,205.83,205.82,205.83,205.82,205.83,205.82,205.83,205.82,243.73,127.42,143.1,255.92,268.65
Norway,49.73,42.48,37.0,35.55,35.3,34.67,33.74,31.28,30.07,29.46,27.12,25.52,23.09,23.2,24.78,23.29,21.49,19.72,19.96,14.9,18.88,18.78,17.13,17.48,17.43,17.02,15.88,15.36,16.28,4.62,2.33,2.22,4.85,4.35
Oman,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,,,0.0,,,,,0.01,,,,,,,,,,,,,,,,,,
