Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Fiji,,,,,821.0,,,,,,,,,,1566.57,,,,,,,,,,,,,,,,,,,
Finland,56971.87,55230.4,54285.53,56352.55,61716.2,58145.44,64062.41,62722.99,59373.26,58894.77,57038.25,62536.21,65059.79,72657.82,68960.75,57042.9,68384.42,66760.3,58609.62,55924.37,64099.45,56665.65,51222.15,51750.96,47643.86,44113.71,47227.55,44673.06,45849.35,45818.7,27746.29,28042.92,48109.64,45540.76
France,403307.24,428927.11,418231.02,397655.36,393368.86,400239.12,415941.02,408989.96,428344.36,424600.51,419232.28,424005.85,419347.5,426145.7,427117.58,430528.28,419737.02,409033.41,401422.87,385421.58,393717.82,367051.08,368311.77,370548.99,339492.92,344096.98,347095.62,352178.98,338327.1,292666.53,173320.67,168491.02,307299.86,265403.9
Gabon,,,,,4407.74,,,,,,5157.27,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,181.06,,,,,,,218.77,,,,,,,,,,,,,,,,,,,,,,,
Georgia,35520.0,28131.8,17119.4,9775.3,6525.8,4560.4,7491.1,8480.0,6888.4,5296.8,3705.2,3875.0,3681.0,3931.0,4844.0,5045.0,6233.0,7160.0,7062.0,6562.0,6634.73,9151.01,9786.39,9478.16,9478.16,9478.16,9478.15,9478.16,9478.15,9384.03,5503.5,5493.96,9853.23,9108.92
Germany,1052348.54,1014199.72,965889.81,956233.11,939630.28,939176.7,959124.13,931230.07,923275.91,895642.93,899780.2,916366.14,899821.05,900866.41,886965.97,866388.55,877997.39,851383.3,854706.33,790195.72,832669.74,809426.95,813893.12,831316.28,792684.87,795816.36,800510.29,786654.55,755362.34,587847.5,344599.62,328581.3,617239.88,480950.9
Ghana,2861.8,2377.12,2897.7,3123.85,3243.03,3556.74,3844.07,3977.84,4364.21,4925.45,6297.67,5585.01,5965.42,6410.85,5789.37,6431.14,7847.2,,,,,,,,,,,,,,,,,
Greece,83425.55,83401.12,84982.71,84296.37,86442.18,86979.1,89132.01,93820.93,98641.5,97958.38,102999.03,105385.7,105020.96,109089.75,109546.75,113930.97,112472.44,114592.34,111125.24,104354.75,97361.5,94549.58,91430.1,81735.05,78659.8,74957.9,71368.36,74852.85,71797.87,67222.92,38878.37,37616.78,70584.07,61424.72
Grenada,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,4245.07,,,,10116.47,,,,,,10578.65,,,,,12553.74,,,,,,,,,,,,,,,,,,
Guinea,,,,,1580.49,,,,,,1960.0,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,178.61,,,,,,,,,,,,156.81,,,,2450.67,,,,,,,,,,,,,
Guyana,1439.0,1439.0,1439.0,1439.0,1439.0,1465.0,1534.0,1680.0,1769.0,1718.0,1688.0,2094.0,1657.0,1657.0,1657.0,,,,,,,,,,,,,,,,,,,
Haiti,,,,,189.1,923.69,1050.91,1310.79,1347.44,1545.77,1447.66,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,4085.25,,,,,4162.45,,,,,7201.8,,,,,,,,,,9902.61,,,,,,,,
Hungary,73464.85,69784.52,62415.94,63632.76,61973.51,61690.77,63257.52,61813.14,61415.0,61911.6,58608.27,60238.8,59197.0,61981.47,60489.92,60606.53,59915.38,58688.63,57530.82,51774.97,52123.68,50322.15,46776.68,43704.81,43862.71,46627.61,47395.71,49684.85,49628.49,45049.39,27421.01,27851.33,47301.86,45927.0
Iceland,2247.8,2128.41,2274.27,2432.16,2373.3,2476.7,2532.04,2627.51,2647.86,2853.95,2946.47,2875.24,3000.52,2994.55,3116.89,2985.97,3164.4,3512.1,3824.94,3740.18,3660.12,3510.64,3502.89,3492.77,3469.68,3545.26,3497.54,3614.87,3674.53,8489.79,5212.69,5136.8,8914.28,8617.01
India,,,,,779348.0,,,,,,1024772.86,,,,,,,,,,1574362.16,,,,,,,,,,,,,
Indonesia,142688.19,155100.4,165505.55,175681.85,189146.31,,,,,,289527.15,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),,,,,310645.33,,,,,,365908.35,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,60379.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,32944.33,33674.01,33494.93,33716.18,34838.15,35852.67,37469.15,38805.24,40708.85,42440.08,45249.0,47607.42,46081.98,45683.97,46166.93,48155.54,47603.94,47665.13,47366.25,42179.54,41747.93,38052.22,38209.59,37235.3,36785.33,38545.33,40029.84,38910.19,38803.39,40381.34,24152.34,23870.28,42400.41,41300.66
Israel,,,,,,,52232.3,,,,61067.82,,,62513.59,62438.66,62711.88,63741.57,66567.6,66048.15,63225.75,65088.77,67138.41,72410.99,66290.47,64285.91,66100.38,65191.77,65055.35,64804.64,,,,,
Italy,438008.8,437538.6,437829.8,430179.96,424581.72,448332.91,442277.41,448044.94,460049.2,464548.48,468442.09,468642.86,476251.24,494183.29,499619.39,500005.68,495124.2,487693.31,476229.97,422624.19,433688.02,422039.48,401554.71,367568.71,347860.8,360088.18,356556.2,351473.93,348085.03,298743.62,175214.36,171009.02,313680.8,269866.0
Jamaica,,,,,8561.19,,,,,,,,,,,,11204.47,9854.93,10655.98,7916.63,7283.62,,7383.89,,,,,,,,,,,
Japan,1158391.31,1170065.73,1179740.1,1172647.31,1227566.84,1239928.16,1251867.57,1245112.03,1205416.32,1242015.31,1264844.26,1250211.05,1279452.96,1287642.18,1282872.08,1290056.28,1266828.61,1302524.28,1231909.52,1162647.87,1214068.56,1264155.13,1305432.85,1314703.0,1263049.94,1222781.31,1203167.02,1187661.45,1135688.0,,,,,
Jordan,,,,,13389.43,,,,,,16308.31,,,,,,23136.0,,,,,,,,,,,,,,,,,
Kazakhstan,281213.95,271741.01,246741.37,219390.01,185835.33,178207.46,163543.77,155572.21,150541.2,124952.45,148756.16,142923.9,160804.18,178774.59,188475.9,202326.2,221649.32,227961.08,229096.3,224145.63,250896.96,240651.23,246750.44,254547.45,278775.59,288578.12,288421.37,307926.54,319647.41,278163.66,169384.8,173890.47,292071.84,288777.0
Kenya,,,,,5511.96,7056.88,,,,,7927.57,,,,,9281.16,,,,,13888.3,,,,,,,,,,,,,
Kiribati,,,,,18.56,,,,,,,,,,29.66,31.23,62.78,67.72,63.78,,,,,,,,,,,,,,,
Kuwait,,,,,29524.0,,,,,,,,,,,,,,,,,,,,,,83921.36,,,,,,,
Kyrgyzstan,20531.57,17598.99,14601.29,11719.26,8668.83,5556.76,5738.89,6543.0,5519.55,5052.22,4957.14,4728.8,4944.52,5094.63,5319.37,5392.16,5527.55,6504.54,7357.65,6934.51,6363.38,,,,,,,,,,,,,
Lao People's Democratic Republic,414.91,,,,,,,,,,1052.19,,,,,,,,,,,,,,,,,,,,,,,
Latvia,19504.13,17783.12,14079.83,11818.64,10296.75,9090.31,9170.27,8645.95,8280.69,7695.97,7064.72,7474.39,7502.61,7722.59,7727.76,7806.68,8305.73,8631.99,8192.82,7451.92,8548.88,7805.4,7515.21,7381.99,7182.63,7272.71,7220.75,7222.78,7859.29,9068.83,5418.7,5430.83,9522.27,8958.44
Lebanon,,,,,13602.76,,,,,,15570.13,,,,,,,,,,,20656.42,22294.28,23096.54,,,,,,,,,,
Lesotho,,,,,635.98,,,,,,805.03,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,3571.0,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,198.97,206.33,206.95,215.03,201.11,204.2,205.96,218.37,229.23,226.56,216.85,214.66,220.01,229.35,229.38,228.97,231.1,200.77,219.51,205.35,190.81,176.78,185.31,192.54,161.24,159.71,149.88,156.28,143.75,8406.7,5190.47,5125.54,8827.04,8548.08
Lithuania,35771.82,37851.59,21200.58,16348.05,15788.27,15084.48,15757.63,15182.21,16039.7,13476.96,11873.92,12621.37,12690.01,12679.87,13272.34,14091.08,14408.01,15797.79,15179.16,13022.77,13926.74,14271.08,14330.83,13340.27,13087.47,13297.14,13327.51,13545.85,13669.49,11795.32,6328.9,6454.97,12385.09,10431.6
Luxembourg,11847.64,12465.79,12232.16,12372.81,11563.93,9170.3,9219.91,8573.11,7695.07,8147.98,8731.57,9226.37,10003.05,10476.02,11844.31,12105.45,11936.28,11333.58,11195.25,10647.82,11219.29,11114.55,10851.4,10303.87,9825.22,9333.17,9080.25,9250.4,9568.52,9234.1,5587.43,5673.72,9695.81,9362.83
Madagascar,,,,,1146.17,,,,,,1747.4,,,,,1919.1,1999.3,2098.7,2250.3,2076.4,2057.9,,,,,,,,,,,,,
Malawi,669.25,,,,719.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,52140.59,62312.48,67718.14,73579.68,82935.43,83210.92,97941.99,113400.44,103147.98,113773.33,136987.07,146115.82,152580.96,165746.22,179143.38,192573.72,192109.54,205552.49,209530.04,201065.19,217972.69,205768.03,,,,,,,,,,,,
Maldives,,,,,129.0,,,,,,,,,,,,,,,,,1236.97,1305.99,1400.01,1453.55,1476.89,,,,,,,,
Mali,,,,,,954.61,,,,,1562.89,,,,,,,,,,2743.67,,,,,,,,,,,,,
Malta,2408.46,2255.39,2314.9,2891.13,2669.72,2460.27,2578.45,2586.19,2545.13,2627.59,2545.52,2665.17,2707.48,2979.28,2846.41,2654.26,2665.94,2735.72,2747.13,2532.57,2581.76,2578.07,2762.07,2437.84,2442.4,1735.3,1399.49,1553.0,1531.58,8511.6,5186.53,5131.94,8937.18,8587.21
Marshall Islands,,,,,,,,,,,80.92,,,,,97.66,,,,,124.94,,,,,,,,,,,,,
Mauritania,,,,,,1046.67,,,,,1137.07,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,2739.8,,,,,2289.81,2476.96,2494.53,2661.33,2659.52,2820.25,3482.62,,,,,,,4250.19,,,,,,,,,,
Mexico,307419.22,318877.87,321246.52,321858.04,346246.67,333784.06,348140.71,365145.08,386249.84,377722.1,407271.27,400547.89,395768.56,403331.35,432780.07,438673.96,454055.33,473765.52,494159.95,475352.59,489865.36,502147.36,504782.35,468240.1,,,,,,,,,,
Micronesia (Federated States of),,,,,235.97,,,,,,151.99,,,,,,,,,,,,,,,,,,,,,,,
Monaco,98.23,98.91,104.51,103.6,104.41,101.2,104.71,103.19,102.07,102.77,100.31,100.01,99.74,97.05,91.88,90.31,84.01,82.77,82.35,79.16,77.69,75.01,78.05,78.81,73.89,74.36,74.66,73.05,74.76,8403.28,5192.5,5124.98,8823.44,8550.78
Mongolia,13650.0,12141.0,10529.0,9913.2,8665.0,8141.0,8978.7,9310.8,9061.1,,,,,,,,9956.25,,,,,,,,,,,,,,,,,
Montenegro,2491.41,2585.54,2143.69,1691.1,1328.8,504.31,2028.9,1920.68,2335.61,2397.97,2520.74,2140.19,2616.95,2508.47,2510.68,2347.24,2542.47,2483.42,3019.8,2057.47,2836.85,2685.7,2685.7,2685.7,2685.69,2685.7,2685.7,2685.7,2685.69,8483.77,5195.45,5123.82,8907.96,8592.58
Morocco,,,,,28364.0,,,,,,33550.8,,,,,,,,,,55823.9,,62103.4,,,,,,,,,,,
Mozambique,1083.12,,,,1585.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,7907.24,7516.74,7789.82,8406.63,8935.41,8264.59,,,,,,,,,,,,,,,,,,
Namibia,,,,,1826.63,,,,,,2018.0,,,,,,,,,,,,,,,,,,,,,,,
